      -121.10500        479.39951       -67.885696       -121.09762        479.34015       -67.860283       -121.11239        479.45886       -67.911110       -120.93922        479.45291       -67.809792       -121.27079        479.34610       -67.961601 
      -121.16270        479.86346       -68.084305       -121.15531        479.80411       -68.058891       -121.17008        479.92282       -68.109718       -120.99691        479.91687       -68.008400       -121.32848        479.81006       -68.160210 
      -121.22040        480.32748       -68.282898       -121.21301        480.26813       -68.257484       -121.22778        480.38684       -68.308311       -121.05461        480.38089       -68.206993       -121.38618        480.27408       -68.358803 
      -121.27810        480.79150       -68.481499       -121.27071        480.73215       -68.456085       -121.28548        480.85086       -68.506912       -121.11231        480.84491       -68.405594       -121.44389        480.73810       -68.557404 
      -121.37080        481.29630       -68.632202       -121.35617        481.23404       -68.620605       -121.38544        481.35855       -68.643799       -121.20502        481.34970       -68.556297       -121.53659        481.24289       -68.708107 
      -121.48521        481.78290       -68.722801       -121.47057        481.72064       -68.711205       -121.49984        481.84515       -68.734398       -121.31942        481.83630       -68.646896       -121.65099        481.72949       -68.798706 
      -121.59950        482.26947       -68.813499       -121.58487        482.20721       -68.801903       -121.61414        482.33173       -68.825096       -121.43372        482.32288       -68.737595       -121.76529        482.21606       -68.889404 
      -121.71391        482.75610       -68.904099       -121.69927        482.69385       -68.892502       -121.72854        482.81836       -68.915695       -121.54812        482.80951       -68.828194       -121.87969        482.70270       -68.980003 
      -121.86269        483.26862       -68.937500       -121.84171        483.20715       -68.940369       -121.88368        483.33008       -68.934631       -121.69691        483.32202       -68.861595       -122.02848        483.21521       -69.013405 
      -122.02670        483.74878       -68.915100       -122.00571        483.68732       -68.917969       -122.04768        483.81024       -68.912231       -121.86091        483.80219       -68.839195       -122.19248        483.69537       -68.991005 
      -122.19080        484.22910       -68.892601       -122.16981        484.16763       -68.895470       -122.21178        484.29056       -68.889732       -122.02501        484.28250       -68.816696       -122.35658        484.17569       -68.968506 
      -122.35480        484.70929       -68.870201       -122.33381        484.64783       -68.873070       -122.37579        484.77075       -68.867332       -122.18901        484.76270       -68.794296       -122.52058        484.65588       -68.946106 
      -122.55110        485.19952       -68.784401       -122.52499        485.14255       -68.801582       -122.57721        485.25650       -68.767220       -122.38531        485.25293       -68.708496       -122.71689        485.14612       -68.860306 
      -122.75510        485.64493       -68.650101       -122.72900        485.58795       -68.667282       -122.78121        485.70190       -68.632919       -122.58932        485.69833       -68.574196       -122.92089        485.59152       -68.726006 
      -122.95921        486.09027       -68.515800       -122.93310        486.03329       -68.532982       -122.98531        486.14725       -68.498619       -122.79342        486.14368       -68.439896       -123.12499        486.03687       -68.591705 
      -123.16331        486.53580       -68.381500       -123.13720        486.47882       -68.398682       -123.18941        486.59277       -68.364319       -122.99752        486.58920       -68.305595       -123.32909        486.48239       -68.457405 
      -123.39530        486.97443       -68.181404       -123.36562        486.92529       -68.211884       -123.42498        487.02356       -68.150925       -123.22952        487.02783       -68.105499       -123.56109        486.92102       -68.257309 
      -123.62720        487.35849       -67.943199       -123.59752        487.30936       -67.973679       -123.65688        487.40762       -67.912720       -123.46141        487.41190       -67.867294       -123.79298        487.30508       -68.019104 
      -123.85921        487.74258       -67.705002       -123.82953        487.69345       -67.735481       -123.88889        487.79172       -67.674522       -123.69342        487.79599       -67.629097       -124.02499        487.68918       -67.780907 
      -124.09120        488.12671       -67.466805       -124.06152        488.07758       -67.497284       -124.12088        488.17584       -67.436325       -123.92542        488.18011       -67.390900       -124.25699        488.07330       -67.542709 
      -124.33850        488.47940       -67.173203       -124.30701        488.44101       -67.215164       -124.36999        488.51779       -67.131241       -124.17271        488.53281       -67.097298       -124.50429        488.42599       -67.249107 
      -124.58450        488.77939       -66.845299       -124.55301        488.74100       -66.887260       -124.61598        488.81778       -66.803337       -124.41871        488.83279       -66.769394       -124.75028        488.72598       -66.921204 
      -124.83060        489.07928       -66.517296       -124.79912        489.04089       -66.559258       -124.86209        489.11768       -66.475334       -124.66482        489.13269       -66.441391       -124.99639        489.02588       -66.593201 
      -125.07670        489.37930       -66.189400       -125.04521        489.34091       -66.231361       -125.10818        489.41769       -66.147438       -124.91091        489.43271       -66.113495       -125.24249        489.32590       -66.265305 
      -125.21860        482.55219       -61.257652       -125.65291        482.41229       -61.456501       -124.78430        482.69208       -61.058800       -125.31610        482.76709       -61.194702       -125.12111        482.33722       -61.320599 
